V (V),T (C),I (mA)
0,0,0
0.025,0,0
0.05,0,0
0.075,0,0
0.1,0,0
0.125,0,0
0.15,0,0
0.175,0,0
0.2,0,0
0.225,0,0
0.25,0,0
0.275,0,0.00001
0.3,0,0.00002
0.325,0,0.00006
0.35,0,0.00016
0.375,0,0.00046
0.4,0,0.00134
0.425,0,0.00387
0.45,0,0.01118
0.475,0,0.03234
0.5,0,0.09354
0.525,0,0.27056
0.55,0,0.78259
0.575,0,2.26359
0.6,0,6.54729
0.625,0,18.93766
0.65,0,54.7761
0,25,0
0.025,25,0
0.05,25,0
0.075,25,0
0.1,25,0
0.125,25,0
0.15,25,0
0.175,25,0
0.2,25,0
0.225,25,0.00001
0.25,25,0.00002
0.275,25,0.00004
0.3,25,0.00012
0.325,25,0.00031
0.35,25,0.00082
0.375,25,0.00218
0.4,25,0.00577
0.425,25,0.01528
0.45,25,0.04042
0.475,25,0.10695
0.5,25,0.28298
0.525,25,0.74875
0.55,25,1.98118
0.575,25,5.24218
0.6,25,13.87074
0.625,25,36.70178
0.65,25,97.11238
0,50,0
0.025,50,0
0.05,50,0
0.075,50,0
0.1,50,0
0.125,50,0
0.15,50,0
0.175,50,0.00001
0.2,50,0.00002
0.225,50,0.00006
0.25,50,0.00014
0.275,50,0.00035
0.3,50,0.00086
0.325,50,0.0021
0.35,50,0.00516
0.375,50,0.01267
0.4,50,0.03109
0.425,50,0.0763
0.45,50,0.18724
0.475,50,0.4595
0.5,50,1.12768
0.525,50,2.76745
0.55,50,6.79163
0.575,50,16.66743
0.6,50,40.90378
0.625,50,100.38252
0.65,50,246.3501
0,75,0
0.025,75,0
0.05,75,0
0.075,75,0
0.1,75,0.00001
0.125,75,0.00002
0.15,75,0.00005
0.175,75,0.00011
0.2,75,0.00025
0.225,75,0.00058
0.25,75,0.00134
0.275,75,0.00309
0.3,75,0.0071
0.325,75,0.01634
0.35,75,0.0376
0.375,75,0.0865
0.4,75,0.19904
0.425,75,0.45797
0.45,75,1.05373
0.475,75,2.42453
0.5,75,5.57859
0.525,75,12.83575
0.55,75,29.53374
0.575,75,67.95407
0.6,75,156.35527
0.625,75,359.75727
0.65,75,827.76419
